,GGLON,GGLAT
0,-123.536,47.0893
1,-123.537,47.0888
2,-123.538,47.0882
3,-123.539,47.0877
4,-123.54,47.0872
5,-123.541,47.0867
6,-123.542,47.0861
7,-123.544,47.0856
8,-123.545,47.0851
9,-123.546,47.0845
10,-123.54700000000001,47.084
11,-123.54799999999999,47.0835
12,-123.54899999999999,47.0829
13,-123.55,47.0824
14,-123.551,47.0818
15,-123.552,47.0813
16,-123.554,47.0807
17,-123.555,47.0802
18,-123.556,47.0796
19,-123.557,47.0791
20,-123.55799999999999,47.0785
21,-123.559,47.078
22,-123.56,47.0774
23,-123.561,47.0769
24,-123.56299999999999,47.0763
25,-123.564,47.0757
26,-123.565,47.0752
27,-123.566,47.0746
28,-123.56700000000001,47.0741
29,-123.568,47.0735
30,-123.569,47.0729
31,-123.57,47.0724
32,-123.572,47.0718
33,-123.573,47.0712
34,-123.574,47.0707
35,-123.575,47.0701
36,-123.57600000000001,47.0695
37,-123.57700000000001,47.069
38,-123.57799999999999,47.0684
39,-123.58,47.0678
40,-123.581,47.0672
41,-123.58200000000001,47.0667
42,-123.583,47.0661
43,-123.584,47.0655
44,-123.585,47.065
45,-123.586,47.0644
46,-123.588,47.0638
47,-123.589,47.0632
48,-123.59,47.0627
49,-123.59100000000001,47.0621
50,-123.59200000000001,47.0615
51,-123.59299999999999,47.0609
52,-123.594,47.0604
53,-123.596,47.0598
54,-123.59700000000001,47.0592
55,-123.598,47.0586
56,-123.59899999999999,47.058
57,-123.6,47.0575
58,-123.601,47.0569
59,-123.602,47.0563
60,-123.604,47.0557
61,-123.605,47.0552
62,-123.60600000000001,47.0546
63,-123.60700000000001,47.054
64,-123.60799999999999,47.0534
65,-123.609,47.0529
66,-123.611,47.0523
67,-123.61200000000001,47.0517
68,-123.613,47.0511
69,-123.61399999999999,47.0506
70,-123.615,47.05
71,-123.616,47.0494
72,-123.618,47.0488
73,-123.619,47.0483
74,-123.62,47.0477
75,-123.62100000000001,47.0471
76,-123.62200000000001,47.0465
77,-123.62299999999999,47.046
78,-123.625,47.0454
79,-123.626,47.0448
80,-123.62700000000001,47.0442
81,-123.62799999999999,47.0436
82,-123.62899999999999,47.0431
83,-123.631,47.0425
84,-123.632,47.0419
85,-123.633,47.0413
86,-123.634,47.0408
87,-123.635,47.0402
88,-123.637,47.0396
89,-123.63799999999999,47.039
90,-123.639,47.0384
91,-123.64,47.0379
92,-123.641,47.0373
93,-123.64299999999999,47.0367
94,-123.64399999999999,47.0361
95,-123.645,47.0356
96,-123.646,47.035
97,-123.647,47.0344
98,-123.649,47.0338
99,-123.65,47.0332
100,-123.65100000000001,47.0327
101,-123.652,47.0321
102,-123.65299999999999,47.0315
103,-123.655,47.0309
104,-123.656,47.0303
105,-123.65700000000001,47.0298
106,-123.65799999999999,47.0292
107,-123.66,47.0286
108,-123.661,47.028
109,-123.662,47.0274
110,-123.663,47.0269
111,-123.665,47.0263
112,-123.666,47.0257
113,-123.667,47.0251
114,-123.66799999999999,47.0245
115,-123.67,47.0239
116,-123.671,47.0233
117,-123.67200000000001,47.0228
118,-123.67299999999999,47.0222
119,-123.675,47.0216
120,-123.676,47.021
121,-123.677,47.0204
122,-123.678,47.0198
123,-123.68,47.0192
124,-123.681,47.0187
125,-123.682,47.0181
126,-123.68299999999999,47.0175
127,-123.685,47.0169
128,-123.686,47.0163
129,-123.68700000000001,47.0157
130,-123.68799999999999,47.0151
131,-123.69,47.0145
132,-123.691,47.0139
133,-123.69200000000001,47.0133
134,-123.693,47.0127
135,-123.695,47.0122
136,-123.696,47.0116
137,-123.697,47.011
138,-123.699,47.0104
139,-123.7,47.0098
140,-123.70100000000001,47.0092
141,-123.70200000000001,47.0086
142,-123.704,47.008
143,-123.705,47.0074
144,-123.706,47.0068
145,-123.708,47.0062
146,-123.709,47.0056
147,-123.71,47.005
148,-123.711,47.0044
149,-123.713,47.0038
150,-123.714,47.0032
151,-123.715,47.0026
152,-123.71700000000001,47.002
153,-123.71799999999999,47.0014
154,-123.719,47.0008
155,-123.72,47.0002
156,-123.72200000000001,46.9996
157,-123.723,46.999
158,-123.72399999999999,46.9984
159,-123.726,46.9978
160,-123.727,46.9972
161,-123.728,46.9966
162,-123.729,46.996
163,-123.73100000000001,46.9954
164,-123.73200000000001,46.9948
165,-123.73299999999999,46.9942
166,-123.735,46.9936
167,-123.736,46.993
168,-123.73700000000001,46.9924
169,-123.73899999999999,46.9918
170,-123.74,46.9911
171,-123.741,46.9905
172,-123.742,46.9899
173,-123.744,46.9893
174,-123.745,46.9887
175,-123.74600000000001,46.9881
176,-123.74799999999999,46.9875
177,-123.749,46.9869
178,-123.75,46.9863
179,-123.75200000000001,46.9857
180,-123.75299999999999,46.985
181,-123.75399999999999,46.9844
182,-123.756,46.9838
183,-123.757,46.9832
184,-123.758,46.9826
185,-123.76,46.982
186,-123.76100000000001,46.9814
187,-123.762,46.9807
188,-123.76299999999999,46.9801
189,-123.765,46.9795
190,-123.766,46.9789
191,-123.76700000000001,46.9783
192,-123.76899999999999,46.9776
193,-123.77,46.977
194,-123.771,46.9764
195,-123.773,46.9758
196,-123.774,46.9752
197,-123.775,46.9745
198,-123.777,46.9739
199,-123.77799999999999,46.9733
200,-123.779,46.9727
201,-123.781,46.972
202,-123.78200000000001,46.9714
203,-123.78299999999999,46.9708
204,-123.785,46.9702
205,-123.786,46.9695
206,-123.787,46.9689
207,-123.789,46.9683
208,-123.79,46.9677
209,-123.791,46.967
210,-123.79299999999999,46.9664
211,-123.794,46.9658
212,-123.795,46.9651
213,-123.79700000000001,46.9645
214,-123.79799999999999,46.9639
215,-123.79899999999999,46.9632
216,-123.801,46.9626
217,-123.802,46.962
218,-123.803,46.9614
219,-123.805,46.9607
220,-123.806,46.9601
221,-123.807,46.9595
222,-123.809,46.9588
223,-123.81,46.9582
224,-123.81200000000001,46.9576
225,-123.81299999999999,46.9569
226,-123.814,46.9563
227,-123.816,46.9557
228,-123.81700000000001,46.955
229,-123.818,46.9544
230,-123.82,46.9537
231,-123.821,46.9531
232,-123.822,46.9525
233,-123.824,46.9518
234,-123.825,46.9512
235,-123.82600000000001,46.9506
236,-123.82799999999999,46.9499
237,-123.829,46.9493
238,-123.83,46.9486
239,-123.83200000000001,46.948
240,-123.833,46.9473
241,-123.835,46.9467
242,-123.836,46.9461
243,-123.837,46.9454
244,-123.839,46.9448
245,-123.84,46.9441
246,-123.84100000000001,46.9435
247,-123.84299999999999,46.9428
248,-123.844,46.9422
249,-123.845,46.9416
250,-123.84700000000001,46.9409
251,-123.848,46.9403
252,-123.84899999999999,46.9396
253,-123.851,46.939
254,-123.852,46.9383
255,-123.854,46.9377
256,-123.855,46.937
257,-123.85600000000001,46.9364
258,-123.85799999999999,46.9358
259,-123.859,46.9351
260,-123.86,46.9345
261,-123.86200000000001,46.9338
262,-123.863,46.9332
263,-123.86399999999999,46.9325
264,-123.866,46.9319
265,-123.867,46.9312
266,-123.869,46.9306
267,-123.87,46.9299
268,-123.87100000000001,46.9293
269,-123.87299999999999,46.9286
270,-123.874,46.928
271,-123.875,46.9273
272,-123.87700000000001,46.9267
273,-123.87799999999999,46.926
274,-123.88,46.9254
275,-123.881,46.9247
276,-123.882,46.9241
277,-123.884,46.9234
278,-123.885,46.9227
279,-123.88600000000001,46.9221
280,-123.88799999999999,46.9214
281,-123.889,46.9208
282,-123.891,46.9201
283,-123.89200000000001,46.9195
284,-123.89299999999999,46.9188
285,-123.895,46.9182
286,-123.896,46.9175
287,-123.897,46.9169
288,-123.899,46.9162
289,-123.9,46.9156
290,-123.90100000000001,46.9149
291,-123.90299999999999,46.9142
292,-123.904,46.9136
293,-123.906,46.9129
294,-123.90700000000001,46.9123
295,-123.90799999999999,46.9116
296,-123.91,46.9109
297,-123.911,46.9103
298,-123.913,46.9096
299,-123.914,46.909
300,-123.915,46.9083
301,-123.917,46.9077
302,-123.91799999999999,46.907
303,-123.919,46.9063
304,-123.921,46.9057
305,-123.92200000000001,46.905
306,-123.92399999999999,46.9044
307,-123.925,46.9037
308,-123.926,46.903
309,-123.928,46.9024
310,-123.929,46.9017
311,-123.93,46.9011
312,-123.932,46.9004
313,-123.93299999999999,46.8998
314,-123.935,46.8991
315,-123.936,46.8984
316,-123.93700000000001,46.8978
317,-123.939,46.8971
318,-123.94,46.8965
319,-123.94200000000001,46.8958
320,-123.943,46.8951
321,-123.944,46.8945
322,-123.946,46.8938
323,-123.947,46.8932
324,-123.949,46.8925
325,-123.95,46.8919
326,-123.95100000000001,46.8912
327,-123.95299999999999,46.8905
328,-123.954,46.8899
329,-123.956,46.8892
330,-123.95700000000001,46.8886
331,-123.958,46.8879
332,-123.96,46.8873
333,-123.961,46.8866
334,-123.963,46.8859
335,-123.964,46.8853
336,-123.965,46.8846
337,-123.96700000000001,46.884
338,-123.96799999999999,46.8833
339,-123.969,46.8826
340,-123.971,46.882
341,-123.97200000000001,46.8813
342,-123.97399999999999,46.8807
343,-123.975,46.88
344,-123.976,46.8794
345,-123.978,46.8787
346,-123.979,46.878
347,-123.98100000000001,46.8774
348,-123.98200000000001,46.8767
349,-123.98299999999999,46.8761
350,-123.985,46.8754
351,-123.986,46.8748
352,-123.988,46.8741
353,-123.98899999999999,46.8734
354,-123.99,46.8728
355,-123.992,46.8721
356,-123.993,46.8715
357,-123.995,46.8708
358,-123.99600000000001,46.8702
359,-123.99700000000001,46.8695
360,-123.999,46.8688
