,FMS_LON,FMS_LAT
0,-75.4627,37.9376
1,-75.4623,37.9382
2,-75.4619,37.9387
3,-75.4614,37.9393
4,-75.461,37.9399
5,-75.4605,37.9404
6,-75.4601,37.941
7,-75.4597,37.9416
8,-75.4592,37.9422
9,-75.4588,37.9428
10,-75.4583,37.9434
11,-75.4578,37.944
12,-75.4574,37.9446
13,-75.4569,37.9452
14,-75.4564,37.9458
15,-75.456,37.9464
16,-75.4555,37.946999999999996
17,-75.455,37.9476
18,-75.4545,37.9483
19,-75.454,37.9489
20,-75.4535,37.9495
21,-75.453,37.9502
22,-75.4525,37.9508
23,-75.452,37.9515
24,-75.4515,37.9521
25,-75.4509,37.9528
26,-75.4504,37.9534
27,-75.4499,37.9541
28,-75.4494,37.9547
29,-75.4489,37.9553
30,-75.4484,37.955999999999996
31,-75.4479,37.9566
32,-75.4474,37.9573
33,-75.4469,37.958
34,-75.4463,37.9586
35,-75.4458,37.9593
36,-75.4453,37.96
37,-75.4447,37.9607
38,-75.4442,37.9614
39,-75.4437,37.9621
40,-75.4432,37.9628
41,-75.4426,37.9635
42,-75.4421,37.9643
43,-75.4416,37.965
44,-75.441,37.9657
45,-75.4404,37.9665
46,-75.4399,37.9672
47,-75.4393,37.968
48,-75.4387,37.9687
49,-75.4382,37.9695
50,-75.4377,37.9702
51,-75.4371,37.971
52,-75.4366,37.9718
53,-75.436,37.9726
54,-75.4355,37.9734
55,-75.435,37.9743
56,-75.4345,37.975
57,-75.434,37.9759
58,-75.4335,37.9767
59,-75.433,37.9775
60,-75.4325,37.9784
61,-75.432,37.9792
62,-75.4315,37.9801
63,-75.431,37.9809
64,-75.4305,37.9818
65,-75.43,37.9827
66,-75.4295,37.9836
67,-75.429,37.9845
68,-75.4285,37.9853
69,-75.4279,37.9862
70,-75.4274,37.986999999999995
71,-75.4269,37.9878
72,-75.4264,37.9888
73,-75.4259,37.9896
74,-75.4254,37.9905
75,-75.4249,37.9914
76,-75.4246,37.9924
77,-75.4242,37.9933
78,-75.4238,37.9943
79,-75.4235,37.9952
80,-75.4232,37.9963
81,-75.4229,37.9972
82,-75.4226,37.9982
83,-75.4225,37.9992
84,-75.4223,38.0003
85,-75.4222,38.0013
86,-75.422,38.0023
87,-75.422,38.0034
88,-75.4219,38.0044
89,-75.4218,38.0055
90,-75.4219,38.0065
91,-75.422,38.0076
92,-75.422,38.0087
93,-75.4221,38.0097
94,-75.4222,38.0108
95,-75.4223,38.0119
96,-75.4225,38.0129
97,-75.4226,38.014
98,-75.4227,38.0151
99,-75.4229,38.0161
100,-75.423,38.0172
101,-75.4232,38.0182
102,-75.4234,38.0192
103,-75.4236,38.0202
104,-75.4238,38.0213
105,-75.42399999999999,38.0224
106,-75.4243,38.0234
107,-75.4245,38.0245
108,-75.4248,38.0255
109,-75.4251,38.0265
110,-75.4254,38.0275
111,-75.4257,38.0286
112,-75.426,38.0296
113,-75.4263,38.0306
114,-75.4266,38.0317
115,-75.42699999999999,38.0327
116,-75.4273,38.0337
117,-75.4276,38.0348
118,-75.4279,38.0357
119,-75.4283,38.0366
120,-75.4286,38.0377
121,-75.429,38.0387
122,-75.4293,38.0396
123,-75.4296,38.0406
124,-75.43,38.0416
125,-75.4304,38.0426
126,-75.4308,38.0436
127,-75.4312,38.0446
128,-75.4316,38.0456
129,-75.4319,38.0465
130,-75.4323,38.0474
131,-75.4327,38.0484
132,-75.4331,38.0494
133,-75.4335,38.0503
134,-75.4338,38.0512
135,-75.4343,38.0523
136,-75.4347,38.0533
137,-75.4351,38.0542
138,-75.4355,38.0551
139,-75.4359,38.0562
140,-75.4363,38.0572
141,-75.4367,38.0581
142,-75.4371,38.0591
143,-75.4375,38.0601
144,-75.4379,38.0612
145,-75.4383,38.0621
146,-75.4387,38.0631
147,-75.4391,38.0641
148,-75.4395,38.0651
149,-75.4399,38.0661
150,-75.4403,38.0671
151,-75.4407,38.0682
152,-75.4411,38.0692
153,-75.4414,38.0702
154,-75.4418,38.0712
155,-75.4422,38.0722
156,-75.4426,38.0733
157,-75.443,38.0743
158,-75.4434,38.0754
159,-75.4438,38.0764
160,-75.4442,38.0775
161,-75.4445,38.0785
162,-75.4449,38.0795
163,-75.4453,38.0806
164,-75.4457,38.0816
165,-75.4461,38.0827
166,-75.4465,38.0837
167,-75.4469,38.0848
168,-75.4473,38.0858
169,-75.4476,38.0869
170,-75.44800000000001,38.0879
171,-75.4483,38.089
172,-75.4486,38.0901
173,-75.449,38.0911
174,-75.4493,38.0922
175,-75.4497,38.0932
176,-75.45,38.0943
177,-75.4503,38.0954
178,-75.4506,38.0965
179,-75.4509,38.0975
180,-75.4513,38.0987
181,-75.4516,38.0997
182,-75.4518,38.1008
183,-75.4521,38.1019
184,-75.4524,38.103
185,-75.4527,38.104
186,-75.453,38.1051
187,-75.4533,38.1062
188,-75.4536,38.1073
189,-75.4539,38.1084
190,-75.4541,38.1094
191,-75.4544,38.1105
192,-75.4547,38.1116
193,-75.4549,38.1127
194,-75.4552,38.1138
195,-75.4554,38.1149
196,-75.4557,38.116
197,-75.4559,38.1171
198,-75.4562,38.1182
199,-75.4565,38.1193
200,-75.4567,38.1204
201,-75.457,38.1215
202,-75.4573,38.1226
203,-75.4575,38.1237
204,-75.4578,38.1248
205,-75.458,38.1259
206,-75.4583,38.126999999999995
207,-75.4586,38.1282
208,-75.4588,38.1292
209,-75.4591,38.1304
210,-75.4594,38.1314
211,-75.4597,38.1325
212,-75.46,38.1336
213,-75.4602,38.1347
214,-75.4605,38.1358
215,-75.4607,38.1369
216,-75.461,38.138000000000005
217,-75.4612,38.1391
218,-75.4615,38.1402
219,-75.4617,38.1414
220,-75.462,38.1425
221,-75.4622,38.1436
222,-75.4624,38.1446
223,-75.4627,38.1458
224,-75.4629,38.1469
225,-75.4631,38.148
226,-75.4634,38.1491
227,-75.4636,38.1502
228,-75.4638,38.1513
229,-75.4641,38.1524
230,-75.4643,38.1534
231,-75.4646,38.1545
232,-75.4648,38.1556
233,-75.4651,38.1567
234,-75.4653,38.1578
235,-75.4656,38.1589
236,-75.4658,38.16
237,-75.46600000000001,38.1611
238,-75.4664,38.1622
239,-75.4666,38.1632
240,-75.4668,38.1644
241,-75.4671,38.1655
242,-75.4673,38.1665
243,-75.4676,38.1677
244,-75.4678,38.1687
245,-75.468,38.1698
246,-75.4683,38.1709
247,-75.4685,38.172
248,-75.4688,38.1731
249,-75.469,38.1742
250,-75.4693,38.1753
251,-75.4695,38.1764
252,-75.4697,38.1775
253,-75.47,38.1785
254,-75.4702,38.1796
255,-75.4704,38.1807
256,-75.4706,38.1818
257,-75.4709,38.1829
258,-75.4711,38.184
259,-75.4713,38.185
260,-75.4715,38.1861
261,-75.4718,38.1872
262,-75.472,38.1883
263,-75.4722,38.1894
264,-75.4724,38.1905
265,-75.4727,38.1915
266,-75.4729,38.1926
267,-75.4731,38.1937
268,-75.4734,38.1947
269,-75.4736,38.1958
270,-75.4738,38.1969
271,-75.4741,38.198
272,-75.4743,38.1991
273,-75.4745,38.2002
274,-75.4748,38.2012
